site,miner_id,ip,mac,scanner_result,model,firmware,rt_hash,avg_hash,elapsed,temperature,fan_rpm,pool_state,worker
DEMO-RIVERBEND,RB-00001,10.240.0.10,02:00:00:00:01:25,Success,Antminer S19j Pro 104T,20221226,103978.95 GH/s,105452.11 GH/s,0d 09h 50m,73.4/72.9/72.9 C,5442/5636/5710/5506 RPM,Connected,demo-riverbend.00001
DEMO-RIVERBEND,RB-00002,10.240.0.11,02:00:00:00:02:4a,Success,Antminer S19 95T,20221226,90985.29 GH/s,91634.58 GH/s,0d 03h 13m,66.1/66.1/67.7 C,6330/5449/5815/6089 RPM,Connected,demo-riverbend.00002
DEMO-RIVERBEND,RB-00003,10.240.0.12,02:00:00:00:03:6f,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,114484.74 GH/s,0d 13h 36m,68.7/69.8/67.9 C,6011/6483/5898/5739 RPM,Unknown,demo-riverbend.00003
DEMO-RIVERBEND,RB-00004,10.240.0.13,02:00:00:00:04:94,Success,Antminer S19j Pro 104T,20221226,106985.41 GH/s,103899.47 GH/s,0d 17h 13m,63.4/64.1/62.6 C,5873/6231/6474/5985 RPM,Connected,demo-riverbend.00004
DEMO-RIVERBEND,RB-00005,10.240.0.14,02:00:00:00:05:b9,Success,Antminer S19 95T,20221226,0 GH/s,94603.76 GH/s,0d 13h 35m,,6252/5604/5769/5747 RPM,Connected,demo-riverbend.00005
DEMO-RIVERBEND,RB-00006,10.240.0.15,02:00:00:00:06:de,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,112647.90 GH/s,0d 18h 29m,255/255/255,6382/6182/5457/5766 RPM,Connected,demo-riverbend.00006
DEMO-RIVERBEND,RB-00007,10.240.0.16,02:00:00:00:07:03,Success,Antminer S19j Pro 104T,20221226,0 GH/s,102724.16 GH/s,0d 09h 56m,255/255/255,5787/5710/5459/6407 RPM,Unknown,demo-riverbend.00007
DEMO-RIVERBEND,RB-00008,10.240.0.17,02:00:00:00:08:28,Success,Antminer S19 95T,20221226,0 GH/s,95262.97 GH/s,0d 17h 32m,255/255/255,6120/5780/5456/6478 RPM,Unknown,demo-riverbend.00008
DEMO-RIVERBEND,RB-00009,10.240.0.18,02:00:00:00:09:4d,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,110792.01 GH/s,0d 02h 22m,255/255/255,6187/6008/5482/5551 RPM,Unknown,demo-riverbend.00009
DEMO-RIVERBEND,RB-00010,10.240.0.19,02:00:00:00:0a:72,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100342.32 GH/s,0d 06h 26m,69.8/69.0/69.4 C,5715/6364/6405/5803 RPM,Unknown,demo-riverbend.00010
DEMO-RIVERBEND,RB-00011,10.240.0.20,02:00:00:00:0b:97,Success,Antminer S19 95T,20221226,0 GH/s,0 GH/s,0d 04h 06m,255/255/255,5949/5780/6230/5946 RPM,Connected,demo-riverbend.00011
DEMO-RIVERBEND,RB-00012,10.240.0.21,02:00:00:00:0c:bc,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,0 GH/s,0d 10h 05m,66.1/65.7/65.9 C,6113/6384/5872/5425 RPM,Connected,demo-riverbend.00012
DEMO-RIVERBEND,RB-00013,10.240.0.22,02:00:00:00:0d:e1,Success,Antminer S19j Pro 104T,20221226,0 GH/s,0 GH/s,0d 19h 50m,,5569/5851/6299/5447 RPM,Unknown,demo-riverbend.00013
DEMO-RIVERBEND,RB-00014,10.240.0.23,02:00:00:00:0e:06,Success,Antminer S19 95T,20221226,0 GH/s,95795.60 GH/s,0d 11h 00m,255/255/255,5788/6235/5867/5456 RPM,Connected,demo-riverbend.00014
DEMO-RIVERBEND,RB-00015,10.240.0.24,02:00:00:00:0f:2b,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,108882.99 GH/s,0d 13h 52m,72.6/73.6/74.4 C,5637/6289/6337/5682 RPM,Connected,demo-riverbend.00015
DEMO-RIVERBEND,RB-00016,10.240.0.25,02:00:00:00:10:50,Success,Antminer S19j Pro 104T,20221226,0 GH/s,0 GH/s,0d 10h 54m,72.4/72.5/74.1 C,5543/5980/5519/5853 RPM,Connected,demo-riverbend.00016
DEMO-RIVERBEND,RB-00017,10.240.0.26,02:00:00:00:11:75,Success,Antminer S19 95T,20221226,0 GH/s,91832.95 GH/s,0d 14h 30m,74.2/76.2/73.5 C,6186/5850/6337/6032 RPM,Connected,demo-riverbend.00017
DEMO-RIVERBEND,RB-00018,10.240.0.27,02:00:00:00:12:9a,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,109759.79 GH/s,0d 16h 16m,68.4/69.5/68.6 C,6456/5890/6296/6111 RPM,Connected,demo-riverbend.00018
DEMO-RIVERBEND,RB-00019,10.240.0.28,02:00:00:00:13:bf,Success,Antminer S19j Pro 104T,20221226,0 GH/s,105622.07 GH/s,0d 17h 42m,70.6/72.2/72.2 C,6105/5892/5713/5864 RPM,Unknown,demo-riverbend.00019
DEMO-RIVERBEND,RB-00020,10.240.0.29,02:00:00:00:14:e4,Success,Antminer S19 95T,20221226,0 GH/s,91889.00 GH/s,0d 13h 29m,,5650/5451/6138/5660 RPM,Connected,demo-riverbend.00020
DEMO-RIVERBEND,RB-00021,10.240.0.30,02:00:00:00:15:09,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,113060.96 GH/s,0d 07h 54m,77.8/78.6/77.3 C,5720/6306/6447/6468 RPM,Unknown,demo-riverbend.00021
DEMO-RIVERBEND,RB-00022,10.240.0.31,02:00:00:00:16:2e,Success,Antminer S19j Pro 104T,20221226,98626.86 GH/s,105113.44 GH/s,0d 12h 08m,68.5/70.4/69.0 C,5737/6249/5948/5432 RPM,Connected,demo-riverbend.00022
DEMO-RIVERBEND,RB-00023,10.240.0.32,02:00:00:00:17:53,Success,Antminer S19 95T,20221226,0 GH/s,92547.19 GH/s,0d 16h 59m,62.4/62.8/63.4 C,6333/5403/6155/5798 RPM,Connected,demo-riverbend.00023
DEMO-RIVERBEND,RB-00024,10.240.0.33,02:00:00:00:18:78,Success,WhatsMiner M30S++ 112T,20221226,107981.23 GH/s,112746.35 GH/s,0d 06h 33m,70.0/71.0/71.4 C,5809/5421/5622/5634 RPM,Connected,demo-riverbend.00024
DEMO-RIVERBEND,RB-00025,10.240.0.34,02:00:00:00:19:9d,Success,Antminer S19j Pro 104T,20221226,0 GH/s,0 GH/s,0d 04h 02m,61.5/62.3/61.1 C,5871/5951/5584/6056 RPM,Connected,demo-riverbend.00025
DEMO-RIVERBEND,RB-00026,10.240.0.35,02:00:00:00:1a:c2,Success,Antminer S19 95T,20221226,0 GH/s,91970.55 GH/s,0d 02h 32m,,6275/6336/6333/6071 RPM,Connected,demo-riverbend.00026
DEMO-RIVERBEND,RB-00027,10.240.0.36,02:00:00:00:1b:e7,Success,WhatsMiner M30S++ 112T,20221226,103099.57 GH/s,110515.16 GH/s,0d 14h 37m,60.7/61.5/62.4 C,5710/5953/6027/6227 RPM,Connected,demo-riverbend.00027
DEMO-RIVERBEND,RB-00028,10.240.0.37,02:00:00:00:1c:0c,Success,Antminer S19j Pro 104T,20221226,0 GH/s,104255.66 GH/s,0d 16h 18m,,6173/5682/6053/5410 RPM,Connected,demo-riverbend.00028
DEMO-RIVERBEND,RB-00029,10.240.0.38,02:00:00:00:1d:31,Success,Antminer S19 95T,20221226,0 GH/s,92072.09 GH/s,0d 15h 51m,67.6/68.3/66.8 C,5904/5740/6090/6072 RPM,Unknown,demo-riverbend.00029
DEMO-RIVERBEND,RB-00030,10.240.0.39,02:00:00:00:1e:56,Success,WhatsMiner M30S++ 112T,20221226,114373.28 GH/s,112077.18 GH/s,0d 03h 28m,70.1/71.1/71.2 C,5927/5466/6292/5716 RPM,Connected,demo-riverbend.00030
DEMO-RIVERBEND,RB-00031,10.240.0.40,02:00:00:00:1f:7b,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100961.97 GH/s,0d 17h 21m,64.2/65.1/63.6 C,6423/6379/6481/6045 RPM,Unknown,demo-riverbend.00031
DEMO-RIVERBEND,RB-00032,10.240.0.41,02:00:00:00:20:a0,Success,Antminer S19 95T,20221226,0 GH/s,0 GH/s,0d 19h 10m,76.5/78.4/76.1 C,5656/5901/5622/6370 RPM,Unknown,demo-riverbend.00032
DEMO-RIVERBEND,RB-00033,10.240.0.42,02:00:00:00:21:c5,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,0 GH/s,0d 18h 32m,,6041/5962/6010/5591 RPM,Connected,demo-riverbend.00033
DEMO-RIVERBEND,RB-00034,10.240.0.43,02:00:00:00:22:ea,Success,Antminer S19j Pro 104T,20221226,0 GH/s,104152.18 GH/s,0d 17h 02m,63.9/63.3/64.6 C,5661/5853/5701/6020 RPM,Connected,demo-riverbend.00034
DEMO-RIVERBEND,RB-00035,10.240.0.44,02:00:00:00:23:0f,Success,Antminer S19 95T,20221226,0 GH/s,91535.84 GH/s,0d 17h 28m,,5671/5661/6090/6412 RPM,Unknown,demo-riverbend.00035
DEMO-RIVERBEND,RB-00036,10.240.0.45,02:00:00:00:24:34,Success,WhatsMiner M30S++ 112T,20221226,116178.29 GH/s,115282.85 GH/s,0d 01h 21m,71.0/71.7/72.7 C,6087/5607/5422/5699 RPM,Connected,demo-riverbend.00036
DEMO-RIVERBEND,RB-00037,10.240.0.46,02:00:00:00:25:59,Success,Antminer S19j Pro 104T,20221226,105349.73 GH/s,104817.19 GH/s,0d 06h 44m,72.1/71.9/72.0 C,5473/5728/6164/5880 RPM,Connected,demo-riverbend.00037
DEMO-RIVERBEND,RB-00038,10.240.0.47,02:00:00:00:26:7e,Success,Antminer S19 95T,20221226,0 GH/s,93134.93 GH/s,0d 10h 30m,71.7/73.0/72.4 C,5684/5654/5944/5656 RPM,Unknown,demo-riverbend.00038
DEMO-RIVERBEND,RB-00039,10.240.0.48,02:00:00:00:27:a3,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,0 GH/s,0d 02h 43m,255/255/255,5882/6027/5806/6448 RPM,Connected,demo-riverbend.00039
DEMO-RIVERBEND,RB-00040,10.240.0.49,02:00:00:00:28:c8,Success,Antminer S19j Pro 104T,20221226,0 GH/s,100981.71 GH/s,0d 13h 05m,76.5/76.9/77.5 C,6284/6059/5403/5569 RPM,Connected,demo-riverbend.00040
DEMO-RIVERBEND,RB-00041,10.240.0.50,02:00:00:00:29:ed,Success,Antminer S19 95T,20221226,0 GH/s,0 GH/s,0d 15h 15m,75.8/76.0/75.1 C,6253/5718/6069/6087 RPM,Unknown,demo-riverbend.00041
DEMO-RIVERBEND,RB-00042,10.240.0.51,02:00:00:00:2a:12,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,114038.01 GH/s,0d 19h 23m,68.0/69.6/67.2 C,5811/5967/5783/5731 RPM,Connected,demo-riverbend.00042
DEMO-RIVERBEND,RB-00043,10.240.0.52,02:00:00:00:2b:37,Success,Antminer S19j Pro 104T,20221226,0 GH/s,102144.96 GH/s,0d 17h 30m,73.8/75.3/73.5 C,5571/5972/6078/6256 RPM,Connected,demo-riverbend.00043
DEMO-RIVERBEND,RB-00044,10.240.0.53,02:00:00:00:2c:5c,Success,Antminer S19 95T,20221226,0 GH/s,92708.53 GH/s,0d 01h 31m,255/255/255,6473/6448/6326/5573 RPM,Connected,demo-riverbend.00044
DEMO-RIVERBEND,RB-00045,10.240.0.54,02:00:00:00:2d:81,Success,WhatsMiner M30S++ 112T,20221226,0 GH/s,0 GH/s,0d 17h 09m,77.9/78.7/79.0 C,6024/5499/5979/5574 RPM,Connected,demo-riverbend.00045
DEMO-RIVERBEND,RB-00046,10.240.0.55,02:00:00:00:2e:a6,Success,Antminer S19j Pro 104T,20221226,108407.68 GH/s,105885.81 GH/s,0d 18h 28m,60.4/61.1/62.4 C,5981/5827/5895/6291 RPM,Connected,demo-riverbend.00046
DEMO-RIVERBEND,RB-00047,10.240.0.56,02:00:00:00:2f:cb,Success,Antminer S19 95T,20221226,61368.81 GH/s,94812.95 GH/s,0d 01h 31m,76.5/76.2/76.0 C,6254/5657/5803/6500 RPM,Connected,demo-riverbend.00047
DEMO-RIVERBEND,RB-00048,10.240.0.57,02:00:00:00:30:f0,Success,WhatsMiner M30S++ 112T,20221226,108134.01 GH/s,109769.47 GH/s,0d 07h 33m,73.7/74.6/73.3 C,5964/6443/5526/5516 RPM,Connected,demo-riverbend.00048
DEMO-RIVERBEND,RB-00049,10.240.0.58,02:00:00:00:31:15,Success,Antminer S19j Pro 104T,20221226,0 GH/s,104526.46 GH/s,0d 10h 12m,255/255/255,6136/5492/6476/5841 RPM,Unknown,demo-riverbend.00049
DEMO-RIVERBEND,RB-00050,10.240.0.59,02:00:00:00:32:3a,Success,Antminer S19 95T,20221226,0 GH/s,94601.03 GH/s,0d 01h 16m,71.6/70.6/72.6 C,5963/5901/5417/5566 RPM,Connected,demo-riverbend.00050
